timestamp,ticker,price,volume
2025-11-25,AAPL,276.97,46824959
2025-11-25,GOOGL,323.44,88631553
2025-11-25,MSFT,476.99,28019793
2025-11-25,NVDA,177.82,320586750
2025-11-25,AMZN,229.67,39379339
2025-11-26,AAPL,277.55,33373748
2025-11-26,GOOGL,319.95,51373318
2025-11-26,MSFT,485.50,25709079
2025-11-26,NVDA,180.26,183807114
2025-11-26,AMZN,229.16,38497719
2025-11-26,AAPL,277.55,33373748
2025-11-26,GOOGL,319.95,51373318
2025-11-26,MSFT,485.50,25709079
2025-11-26,NVDA,180.26,183807114
2025-11-26,AMZN,229.16,38497719
2025-11-28,AAPL,278.85,20100859
2025-11-28,GOOGL,320.18,26018553
2025-11-28,MSFT,492.01,14386670
2025-11-28,NVDA,177.00,121060999
2025-11-28,AMZN,233.22,20250425
2025-12-01,AAPL,283.10,46517247
2025-12-01,GOOGL,314.89,41182956
2025-12-01,MSFT,486.74,23963993
2025-12-01,NVDA,179.92,187740242
2025-12-01,AMZN,233.88,42903594
2025-12-02,AAPL,286.19,53605388
2025-12-02,GOOGL,315.81,35854744
2025-12-02,MSFT,490.00,19562722
2025-12-02,NVDA,181.46,182117064
2025-12-02,AMZN,234.42,45785363
2025-12-03,AAPL,284.15,43511522
2025-12-03,GOOGL,319.63,41838317
2025-12-03,MSFT,477.73,34614900
2025-12-03,NVDA,179.59,164982727
2025-12-03,AMZN,232.38,35495058
2025-12-04,AAPL,280.70,43952485
2025-12-04,GOOGL,317.62,31240824
2025-12-04,MSFT,480.84,22318073
2025-12-04,NVDA,183.38,166889138
2025-12-04,AMZN,229.11,45680903
2025-12-05,AAPL,278.78,47255069
2025-12-05,GOOGL,321.27,28851705
2025-12-05,MSFT,483.16,22608610
2025-12-05,NVDA,182.41,143637787
2025-12-05,AMZN,229.53,33117277
2025-12-08,AAPL,277.89,38186003
2025-12-08,GOOGL,313.72,33880411
2025-12-08,MSFT,491.02,21965785
2025-12-08,NVDA,185.55,203785330
2025-12-08,AMZN,226.89,35019072
2025-12-09,AAPL,277.18,32153772
2025-12-09,GOOGL,317.08,30177370
2025-12-09,MSFT,492.02,14696078
2025-12-09,NVDA,184.97,144376088
2025-12-09,AMZN,227.92,25840496
2025-12-10,AAPL,278.78,33038108
2025-12-10,GOOGL,320.21,33428923
2025-12-10,MSFT,478.56,35748552
2025-12-10,NVDA,183.78,162516200
2025-12-10,AMZN,231.78,38790432
2025-12-11,AAPL,278.03,33184801
2025-12-11,GOOGL,312.43,42149407
2025-12-11,MSFT,483.47,24669020
2025-12-11,NVDA,180.93,181661541
2025-12-11,AMZN,230.28,28248522
2025-12-12,AAPL,278.28,39532644
2025-12-12,GOOGL,309.29,35940070
2025-12-12,MSFT,478.53,21248090
2025-12-12,NVDA,175.02,203813551
2025-12-12,AMZN,226.19,35636939
2025-12-15,AAPL,274.11,50409068
2025-12-15,GOOGL,308.22,29151889
2025-12-15,MSFT,474.82,23727694
2025-12-15,NVDA,176.29,164506902
2025-12-15,AMZN,222.54,47286085
2025-12-16,AAPL,274.61,37648586
2025-12-16,GOOGL,306.57,30585020
2025-12-16,MSFT,476.39,20705547
2025-12-16,NVDA,177.72,148304950
2025-12-16,AMZN,222.56,39293678
2025-12-17,AAPL,271.84,50138543
2025-12-17,GOOGL,296.72,43930057
2025-12-17,MSFT,476.12,24526971
2025-12-17,NVDA,170.94,222339591
2025-12-17,AMZN,221.27,44030569
2025-12-18,AAPL,272.19,51630281
2025-12-18,GOOGL,302.46,33517948
2025-12-18,MSFT,483.98,28573445
2025-12-18,NVDA,174.14,175826146
2025-12-18,AMZN,226.76,50267599
2025-12-19,AAPL,273.67,144567713
2025-12-19,GOOGL,307.16,59943218
2025-12-19,MSFT,485.92,70835999
2025-12-19,NVDA,180.99,324570976
2025-12-19,AMZN,227.35,85539391
2025-12-22,AAPL,270.97,36508230
2025-12-22,GOOGL,309.78,26429618
2025-12-22,MSFT,484.92,16962915
2025-12-22,NVDA,183.69,128875016
2025-12-22,AMZN,228.43,32189837
2025-12-23,AAPL,272.36,29593863
2025-12-23,GOOGL,314.35,25478670
2025-12-23,MSFT,486.85,14683482
2025-12-23,NVDA,189.21,174578344
2025-12-23,AMZN,232.14,29230205
2025-12-24,AAPL,273.81,17892492
2025-12-24,GOOGL,314.09,10097361
2025-12-24,MSFT,488.02,5855880
2025-12-24,NVDA,188.61,65440544
2025-12-24,AMZN,232.38,11392602
2025-12-24,AAPL,273.81,17892492
2025-12-24,GOOGL,314.09,10097361
2025-12-24,MSFT,488.02,5855880
2025-12-24,NVDA,188.61,65440544
2025-12-24,AMZN,232.38,11392602
2025-12-26,AAPL,273.40,21461047
2025-12-26,GOOGL,313.51,10915784
2025-12-26,MSFT,487.71,8842131
2025-12-26,NVDA,190.53,139489058
2025-12-26,AMZN,232.52,15944632
2025-12-29,AAPL,273.76,23676257
2025-12-29,GOOGL,313.56,19621386
2025-12-29,MSFT,487.10,10894354
2025-12-29,NVDA,188.22,119841048
2025-12-29,AMZN,232.07,19791422
2025-12-30,AAPL,273.08,22109594
2025-12-30,GOOGL,313.85,17380685
2025-12-30,MSFT,487.48,13944347
2025-12-30,NVDA,187.54,97511654
2025-12-30,AMZN,232.53,21904242
2025-12-31,AAPL,271.86,27258206
2025-12-31,GOOGL,313.00,16377296
2025-12-31,MSFT,483.62,15635392
2025-12-31,NVDA,186.50,119922172
2025-12-31,AMZN,230.82,24337524
2025-12-31,AAPL,271.86,27258206
2025-12-31,GOOGL,313.00,16377296
2025-12-31,MSFT,483.62,15635392
2025-12-31,NVDA,186.50,119922172
2025-12-31,AMZN,230.82,24337524
2026-01-02,AAPL,271.01,37782525
2026-01-02,GOOGL,315.15,32012970
2026-01-02,MSFT,472.94,25564716
2026-01-02,NVDA,188.85,147894752
2026-01-02,AMZN,226.50,51411952
2026-01-05,AAPL,267.26,45633196
2026-01-05,GOOGL,316.54,30773072
2026-01-05,MSFT,472.85,25237453
2026-01-05,NVDA,188.12,184396413
2026-01-05,AMZN,233.06,49645859
2026-01-06,AAPL,262.36,52260948
2026-01-06,GOOGL,314.34,31878123
2026-01-06,MSFT,478.51,23035109
2026-01-06,NVDA,187.24,175831121
2026-01-06,AMZN,240.93,53732021
2026-01-07,AAPL,260.33,48226901
2026-01-07,GOOGL,321.98,35103592
2026-01-07,MSFT,483.47,25563887
2026-01-07,NVDA,189.11,153160688
2026-01-07,AMZN,241.56,42034601
2026-01-08,AAPL,259.04,50415333
2026-01-08,GOOGL,325.44,31827288
2026-01-08,MSFT,478.11,18163471
2026-01-08,NVDA,185.04,171664545
2026-01-08,AMZN,246.29,39445641
2026-01-09,AAPL,259.37,39654348
2026-01-09,GOOGL,328.57,25895482
2026-01-09,MSFT,479.28,18282830
2026-01-09,NVDA,184.86,128577987
2026-01-09,AMZN,247.38,34034789
2026-01-12,AAPL,260.25,45152883
2026-01-12,GOOGL,331.86,33957326
2026-01-12,MSFT,477.18,23519721
2026-01-12,NVDA,184.94,137689624
2026-01-12,AMZN,246.47,35795205
2026-01-13,AAPL,261.05,45601262
2026-01-13,GOOGL,335.97,33522250
2026-01-13,MSFT,470.67,28489616
2026-01-13,NVDA,185.81,158479038
2026-01-13,AMZN,242.60,38222911
2026-01-14,AAPL,259.96,39934470
2026-01-14,GOOGL,335.84,28522796
2026-01-14,MSFT,459.38,28141028
2026-01-14,NVDA,183.14,158168846
2026-01-14,AMZN,236.65,41297055
2026-01-15,AAPL,258.21,39322613
2026-01-15,GOOGL,332.78,28437746
2026-01-15,MSFT,456.66,23241979
2026-01-15,NVDA,187.05,206515131
2026-01-15,AMZN,238.18,42834083
2026-01-16,AAPL,255.53,72064044
2026-01-16,GOOGL,330.00,40335808
2026-01-16,MSFT,459.86,34246445
2026-01-16,NVDA,186.23,187601620
2026-01-16,AMZN,239.12,45792469
2026-01-16,AAPL,255.53,72064044
2026-01-16,GOOGL,330.00,40335808
2026-01-16,MSFT,459.86,34246445
2026-01-16,NVDA,186.23,187601620
2026-01-16,AMZN,239.12,45792469
2026-01-20,AAPL,246.70,80110363
2026-01-20,GOOGL,322.00,35369369
2026-01-20,MSFT,454.52,26108521
2026-01-20,NVDA,178.07,221411934
2026-01-20,AMZN,231.00,47532847
2026-01-21,AAPL,247.65,54933217
2026-01-21,GOOGL,328.38,35603974
2026-01-21,MSFT,444.11,37939952
2026-01-21,NVDA,183.32,200670025
2026-01-21,AMZN,231.31,47848005
2026-01-22,AAPL,248.35,39706430
2026-01-22,GOOGL,330.54,26250225
2026-01-22,MSFT,451.14,25342856
2026-01-22,NVDA,184.84,145825037
2026-01-22,AMZN,234.34,31912276
2026-01-23,AAPL,248.04,41737195
2026-01-23,GOOGL,327.93,27281679
2026-01-23,MSFT,465.95,38002505
2026-01-23,NVDA,187.67,142755401
2026-01-23,AMZN,239.16,33781876
2026-01-26,AAPL,255.41,55969056
2026-01-26,GOOGL,333.26,26041314
2026-01-26,MSFT,470.28,29289413
2026-01-26,NVDA,186.47,124785647
2026-01-26,AMZN,238.42,32825917
2026-01-27,AAPL,258.27,49648077
2026-01-27,GOOGL,334.55,21635652
2026-01-27,MSFT,480.58,29209069
2026-01-27,NVDA,188.52,143702917
